qubit,t1_time,t1_err,t2r_time,t2r_err,t2e_time,t2e_err,temp_mK,timestamp
Q1,14.206084828067677,0.7790598769396887,5.265976653803688,0.807923349219671,5.217633334610594,0.74250593910948,100,2026-03-12 15:32:57
Q2,26.389467746517106,2.367307436894585,3.895842895329877,1.3861317110371028,3.6628513478721625,1.2819367820440806,100,2026-03-12 15:40:12
Q3,25.117812943011188,1.4776342094845882,8.696167963716222,0.7751236724442699,9.707135995984153,1.0735360330661108,100,2026-03-12 15:47:32
Q4,22.561964990823775,1.6436938068902294,9.410086432906128,1.49878689887865,8.521291753247827,1.4159824315673306,100,2026-03-12 15:54:53
Q1,20.463975930536048,,8.525745168548266,,8.780859961866126,,10,2026-03-11 13:59:57
Q2,29.25650412193575,,3.5909598214285716,,3.5909598214285716,,10,2026-03-11 14:07:31
Q3,24.688600474887902,,12.555900870363555,,13.562587425279714,,10,2026-03-11 14:14:50
Q4,34.210012370114775,,8.964082623761604,,12.943133502990124,,10,2026-03-11 14:22:10
Q1,20.00611084589123,,6.8042514575176005,,6.619089836247431,,110,2026-03-11 18:21:52
Q2,26.28862662982121,,3.5909598703435863,,3.5909598214285716,,110,2026-03-11 18:29:07
Q3,21.96197447917173,,8.174370523368125,,10.164147353394839,,110,2026-03-11 18:36:26
Q4,33.104871828185544,,5.614166995325211,,5.486989270901558,,110,2026-03-11 18:43:45
Q1,13.279743349052325,0.7682649130207325,4.936892541808819,0.8411209021461791,4.762287343761529,0.7258518164376416,120,2026-03-12 14:00:53
Q2,26.387602070108265,2.2870994793748642,3.5909598214285716,1.2295628841972708,4.003798405493057,1.3196976992644047,120,2026-03-12 14:11:44
Q3,19.438129788309404,1.0750248671680378,6.776786380207152,0.8821425502871871,8.163447553378507,0.8426750384470689,120,2026-03-12 14:22:43
Q4,18.334421413902067,1.2569459915474326,7.725806152983819,1.3600407183548942,7.350518623780363,1.1707681256177176,120,2026-03-12 14:33:48
Q1,14.617142237993857,0.7493039847612083,5.037544808713451,0.7822970711014714,4.9405457803082315,0.7515069835771369,120,2026-03-12 15:18:01
Q2,30.70780189931243,3.254509430651989,3.5909598214285716,1.1885787464028201,3.5909598214285716,1.2592737093235986,120,2026-03-12 15:25:15
Q1,14.450470158490205,,6.116431621649202,,5.067525512546884,,130,2026-03-11 19:51:08
Q2,33.19148985942617,,3.5909598214285716,,3.5909598214285716,,130,2026-03-11 19:58:23
Q3,15.599301172903852,,8.581967261965891,,9.225200264420133,,130,2026-03-11 20:05:43
Q4,18.93007054541604,,7.864130872356375,,6.91997881389246,,130,2026-03-11 20:13:02
Q1,10.196547451717551,0.7232128485293025,3.6927241388020344,0.6950032410613016,4.226341821925042,0.7095702074188027,140,2026-03-12 12:55:52
Q2,16.68428488729371,1.4845798490985442,3.5909598214285716,1.280752560537847,3.5909598214285716,1.264365845421177,140,2026-03-12 13:06:43
Q3,17.43554023947179,1.0623280993862472,7.18988745516975,0.6479355240480903,8.112345834792139,1.1195237949809356,140,2026-03-12 13:17:45
Q4,13.610237968180806,1.1093189041137725,6.702408757451033,1.16385499807017,5.763739329095736,0.9335797115350148,140,2026-03-12 13:28:47
Q1,9.874625577748224,,3.5909598214286285,,3.5909598214285716,,157,2026-03-11 21:20:46
Q2,15.25352019210502,,3.5909598214285716,,3.5909598214285716,,157,2026-03-11 21:31:38
Q3,12.384833261518747,,5.617834071745023,,6.147635607024594,,157,2026-03-11 21:42:37
Q4,11.614878909781531,,5.880784807777402,,6.000695767592241,,157,2026-03-11 21:53:35
Q1,6.747854577941506,0.68383285868702,3.5909598214285716,0.7396555231187111,3.5909598214285716,0.7440578052659084,165,2026-03-12 11:40:07
Q2,11.287214512906111,1.5107726104796377,3.5909598214285716,1.1761345682758761,3.5909598214285716,1.1562998675198244,165,2026-03-12 11:50:58
Q3,8.401727489360397,0.7704299781010415,4.033148952199435,0.5269649263061281,4.553734031857728,0.5478160722035025,165,2026-03-12 12:01:56
Q4,11.834877722472772,1.1915564591813332,4.4556546169343845,0.9344213418016746,4.752043961376637,0.9430893593864609,165,2026-03-12 12:12:54
Q1,2.3042121180623476,0.4775498965554321,3.5909598214285716,1.659066324443552,3.5909598214285716,1.1745199903495724,172,2026-03-12 08:20:50
Q2,3.4200502231075207,1.304271546217623,3.5909598214285716,1.1996283990226875,3.5909598214285716,1.265697825005594,172,2026-03-12 08:31:41
Q3,2.6446817379109673,0.5347389304741355,3.5909598214285716,0.9934040756069187,4.433808328821758,1.4746449017016285,172,2026-03-12 08:42:42
Q4,5.921867750724985,1.0299410733707333,3.5909598214285716,1.1868605406833599,3.5909598214285716,1.692721390793135,172,2026-03-12 08:53:43
Q1,5.849414937205318,0.6717644834607427,3.5909598214285716,0.7656692219766494,3.5909598214285716,0.7906390878479314,175,2026-03-11 23:53:24
Q2,6.525403116471828,1.0668577505636816,3.5909598214285716,1.1645553694888078,3.590959878935364,1.2729009602609975,175,2026-03-12 00:04:14
Q3,7.5326319732597495,0.7388103309487397,3.5909598214285716,0.5091941954637831,3.5909598214285716,0.6175430146217018,175,2026-03-12 00:15:13
Q4,8.61741706024676,1.0320984524071675,3.5909598214285716,0.8050334735263878,4.752002601237297,0.9461454037851206,175,2026-03-12 00:26:13
Q1,4.081009399298435,0.6181658846041626,3.5909598214285716,0.9867808135632454,3.5909598214285716,0.8575542586486722,183,2026-03-12 10:21:32
Q2,5.121954917336642,1.233750192986246,3.5909598214285716,1.1809413014165657,3.5909598214285716,1.2081884779639085,183,2026-03-12 10:32:23
Q3,3.6495416188977594,0.5190905307060617,3.5909598214285716,0.6428006964445262,3.5909598214285716,0.8396790312684596,183,2026-03-12 10:43:22
Q4,3.911255066267799,0.7355105783347367,3.590959821428573,0.9174743367727974,5.215382217308961,2.121568697947987,183,2026-03-12 10:54:25
Q1,2.248690614412709,0.5052169422861125,4.353449831842647,2.7239254164592035,3.5909598214285716,0.966811836267015,193,2026-03-12 09:10:23
Q2,4.996347359814797,1.267771527059634,3.5909598214285716,1.2158547522004906,4.733805786502532,1.3976365185734267,193,2026-03-12 09:21:13
Q3,3.073260487398447,0.5708958171207179,3.5909598214285716,1.2314467996428748,3.590959821436233,1.8115749960230716,193,2026-03-12 09:32:13
Q4,3.3880550557815345,0.8973705423508074,3.5909598214285716,1.348743152851732,3.5909598214285716,1.210395304501329,193,2026-03-12 09:43:14
Q1,17.58352360191804,0.8638938555678308,9.094555326343217,1.1320829757662654,7.262590863390043,0.7526512754849687,20,2026-03-12 18:49:26
Q2,27.485944707000733,1.7432327378355674,3.5909598214285716,1.2002201142534845,3.5909598214285716,1.2422191326081737,20,2026-03-12 18:56:41
Q3,22.375978349767298,1.0032158082295697,7.027016707076563,0.8265707641820793,12.179702294793387,1.069350470902006,20,2026-03-12 19:04:00
Q4,25.51454759132379,1.5088780525827536,7.436053771362261,1.1658713469629627,9.743830008007672,1.513279420832887,20,2026-03-12 19:11:23
Q1,22.519964976934663,,9.198006923374715,,8.672812166414673,,30,2026-03-11 14:41:29
Q2,29.46174871931134,,3.5909598214285716,,3.5909598214285716,,30,2026-03-11 14:48:45
Q3,21.011765746329164,,12.195963819142221,,12.003896080093412,,30,2026-03-11 14:56:05
Q4,24.641925269017214,,9.732550334588714,,8.258052649839426,,30,2026-03-11 15:03:25
Q1,15.640458720770646,0.7597694993928074,8.456187200480663,1.0586207073239058,6.79036891551668,0.7696350439892594,40,2026-03-12 17:41:26
Q2,31.807780857978848,2.0839689604892224,3.5909598214285716,1.1662049439020632,3.5909598214285716,1.255615338928606,40,2026-03-12 17:48:40
Q3,21.651633562469996,0.9952536879056579,5.916470776463711,0.7974525263100615,12.366578230643015,1.0171350940611443,40,2026-03-12 17:56:02
Q4,21.43710714433903,1.333598648788592,11.373908330613121,1.556676355568951,9.15926466943746,1.398204427742885,40,2026-03-12 18:03:25
Q1,25.226076130730803,,10.41899930829769,,9.105783731301395,,50,2026-03-11 15:28:34
Q2,31.920774934211654,,3.5909598214285716,,3.5909598214285716,,50,2026-03-11 15:35:49
Q3,26.099633333476195,,10.387058419067301,,12.947447476689472,,50,2026-03-11 15:43:09
Q4,24.223527567136625,,9.18206018122351,,9.786596846043516,,50,2026-03-11 15:50:27
Q1,14.477455782860963,0.7499551912919998,9.579539566289336,1.3192944007959437,7.319568899516935,1.0597387566879697,60,2026-03-12 16:51:26
Q2,31.261446402078278,2.4853265479070106,3.5909598214285716,1.2188023760214675,3.800470521253692,1.37511035028469,60,2026-03-12 16:59:12
Q3,20.090724612704317,0.9262152992845379,10.13614856558925,0.9238196948253785,15.074905953829958,1.1671092266402672,60,2026-03-12 17:06:33
Q4,26.112033919680837,1.6574673582205157,9.87352581128723,1.4764527869604245,11.32062023938951,1.7604766861189123,60,2026-03-12 17:13:51
Q1,22.366058794694357,,7.383752501489505,,7.830191085889154,,70,2026-03-11 16:27:27
Q2,27.53948004688928,,3.5909598214285716,,3.5909598214285716,,70,2026-03-11 16:34:41
Q3,22.89856233540823,,5.9009887113356525,,10.914988099816801,,70,2026-03-11 16:42:02
Q4,29.362396742404933,,8.010118879180164,,9.488357617430454,,70,2026-03-11 16:49:20
Q1,16.056458321591098,0.7584911973129845,7.154969354437445,0.930453215851237,6.242167963388465,0.8866827927497571,80,2026-03-12 16:11:59
Q2,31.851435724553223,2.1692855521228456,3.5909598214285716,1.2670400401610349,3.5909598214285716,1.3242736629274927,80,2026-03-12 16:19:14
Q3,23.86819530175602,1.2372601204921063,9.26318060145997,0.8495234472513702,9.676309180319649,1.115157196922591,80,2026-03-12 16:26:34
Q4,27.236627910216583,1.5121555796572272,12.484980695464905,1.85671661978116,7.765010232784078,1.3790332996062447,80,2026-03-12 16:33:57
Q1,14.477455782860963,0.7499551912919998,9.579539566289336,1.3192944007959437,7.319568899516935,1.0597387566879697,80,2026-03-12 16:51:26
Q2,31.261446402078278,2.4853265479070106,3.5909598214285716,1.2188023760214675,3.800470521253692,1.37511035028469,80,2026-03-12 16:59:12
Q3,20.090724612704317,0.9262152992845379,10.13614856558925,0.9238196948253785,15.074905953829958,1.1671092266402672,80,2026-03-12 17:06:33
Q4,26.112033919680837,1.6574673582205157,9.87352581128723,1.4764527869604245,11.32062023938951,1.7604766861189123,80,2026-03-12 17:13:51
Q1,21.89978215942197,,12.850781117277423,,8.039459216783886,,90,2026-03-11 17:29:24
Q2,26.701715922122126,,3.5909598214285716,,3.5909598214285716,,90,2026-03-11 17:36:39
Q3,22.4816085978377,,6.24262641982126,,12.746915948844721,,90,2026-03-11 17:44:00
Q4,22.825882636701156,,7.836129552080465,,7.590486602143953,,90,2026-03-11 17:51:19
Q1,13.3856502726784,0.7198730192784856,5.167934655546721,0.8224425737586276,4.854305386230229,0.6691457777028053,100,2026-03-13 13:48:41
Q2,40.4846823633157,3.5318896706083116,2.3479352678571432,1.0468669949188734,2.3479356203402943,1.0960303528917292,100,2026-03-13 13:58:27
Q3,19.021060699925687,1.1437519418776485,9.108889117723113,0.963072068732046,15.212861797852607,1.603483331348445,100,2026-03-13 14:09:07
Q4,22.11701138314527,1.5664805757679479,7.016364123875241,1.0542862266970285,6.635569644681191,1.0977037516415895,100,2026-03-13 14:19:06
Q1,16.426381109533718,0.8052677265146654,8.80066008809415,1.1544074352643467,8.065594812341578,0.9698929002108112,10,2026-03-12 20:56:39
Q2,37.83356192346145,2.022791114567983,3.5909598214285716,1.2090769262227843,3.5909598214285716,1.1618162900917808,10,2026-03-12 21:03:53
Q3,23.758407956230844,1.0194845326537376,6.577801945975547,0.9839918652548161,9.18991447556619,1.2204758448661372,10,2026-03-12 21:11:13
Q4,26.98466222724057,1.4989005535534965,11.745246824137533,1.764753229302058,10.638530895853977,1.5586227620381876,10,2026-03-12 21:18:35
